A | סופרמרקט | department | depth 0 | path A | pathHe סופרמרקט | url https://www.shufersal.co.il/online/he/A
A24 | רשימות | category | parent A סופרמרקט | depth 1 | path A>A24 | pathHe סופרמרקט > רשימות | url https://www.shufersal.co.il/online/he/c/A24
A04 | פירות וירקות | subCategory | parent A24 רשימות | depth 2 | path A>A24>A04 | pathHe סופרמרקט > רשימות > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A04
A2405 | כריך הנקניק המושלם | depth3 | parent A04 פירות וירקות | depth 3 | path A>A24>A04>A2405 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם | url https://www.shufersal.co.il/online/he/c/A2405
A2404 | איך בא לי בורקס | depth4 | parent A2405 כריך הנקניק המושלם | depth 4 | path A>A24>A04>A2405>A2404 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > איך בא לי בורקס | url https://www.shufersal.co.il/online/he/c/A2404
A2402 | החברים באים להמבורגרים | depth5 | parent A2404 איך בא לי בורקס | depth 5 | path A>A24>A04>A2405>A2404>A2402 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > איך בא לי בורקס > החברים באים להמבורגרים | url https://www.shufersal.co.il/online/he/c/A2402
A0410 | פירות וירקות | depth6 | parent A2402 החברים באים להמבורגרים | depth 6 | path A>A24>A04>A2405>A2404>A2402>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > איך בא לי בורקס > החברים באים להמבורגרים > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A041001 | ירקות טריים | leaf | parent A0410 פירות וירקות | depth 7 | path A>A24>A04>A2405>A2404>A2402>A0410>A041001 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > איך בא לי בורקס > החברים באים להמבורגרים > פירות וירקות > ירקות טריים | url https://www.shufersal.co.il/online/he/c/A041001
A0410 | פירות וירקות | depth5 | parent A2404 איך בא לי בורקס | depth 5 | path A>A24>A04>A2405>A2404>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > איך בא לי בורקס > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A041001 | ירקות טריים | leaf | parent A0410 פירות וירקות | depth 6 | path A>A24>A04>A2405>A2404>A0410>A041001 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > איך בא לי בורקס > פירות וירקות > ירקות טריים | url https://www.shufersal.co.il/online/he/c/A041001
A2402 | החברים באים להמבורגרים | depth4 | parent A2405 כריך הנקניק המושלם | depth 4 | path A>A24>A04>A2405>A2402 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > החברים באים להמבורגרים | url https://www.shufersal.co.il/online/he/c/A2402
A0410 | פירות וירקות | depth5 | parent A2402 החברים באים להמבורגרים | depth 5 | path A>A24>A04>A2405>A2402>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > החברים באים להמבורגרים > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A0409 | ירקות ופירות מצוננים | depth6 | parent A0410 פירות וירקות | depth 6 | path A>A24>A04>A2405>A2402>A0410>A0409 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > החברים באים להמבורגרים > פירות וירקות > ירקות ופירות מצוננים | url https://www.shufersal.co.il/online/he/c/A0409
A041001 | ירקות טריים | depth7 | parent A0409 ירקות ופירות מצוננים | depth 7 | path A>A24>A04>A2405>A2402>A0410>A0409>A041001 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > החברים באים להמבורגרים > פירות וירקות > ירקות ופירות מצוננים > ירקות טריים | url https://www.shufersal.co.il/online/he/c/A041001
A040901 | ירקות מצוננים/סלטים | leaf | parent A041001 ירקות טריים | depth 8 | path A>A24>A04>A2405>A2402>A0410>A0409>A041001>A040901 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > החברים באים להמבורגרים > פירות וירקות > ירקות ופירות מצוננים > ירקות טריים > ירקות מצוננים/סלטים | url https://www.shufersal.co.il/online/he/c/A040901
A0410 | פירות וירקות | depth4 | parent A2405 כריך הנקניק המושלם | depth 4 | path A>A24>A04>A2405>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A0409 | ירקות ופירות מצוננים | depth5 | parent A0410 פירות וירקות | depth 5 | path A>A24>A04>A2405>A0410>A0409 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > פירות וירקות > ירקות ופירות מצוננים | url https://www.shufersal.co.il/online/he/c/A0409
A041001 | ירקות טריים | depth6 | parent A0409 ירקות ופירות מצוננים | depth 6 | path A>A24>A04>A2405>A0410>A0409>A041001 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > פירות וירקות > ירקות ופירות מצוננים > ירקות טריים | url https://www.shufersal.co.il/online/he/c/A041001
A040901 | ירקות מצוננים/סלטים | leaf | parent A041001 ירקות טריים | depth 7 | path A>A24>A04>A2405>A0410>A0409>A041001>A040901 | pathHe סופרמרקט > רשימות > פירות וירקות > כריך הנקניק המושלם > פירות וירקות > ירקות ופירות מצוננים > ירקות טריים > ירקות מצוננים/סלטים | url https://www.shufersal.co.il/online/he/c/A040901
A2415 | ערב גבינות ויין טוב | depth3 | parent A04 פירות וירקות | depth 3 | path A>A24>A04>A2415 | pathHe סופרמרקט > רשימות > פירות וירקות > ערב גבינות ויין טוב | url https://www.shufersal.co.il/online/he/c/A2415
A2403 | יצאנו לפיקניק | depth4 | parent A2415 ערב גבינות ויין טוב | depth 4 | path A>A24>A04>A2415>A2403 | pathHe סופרמרקט > רשימות > פירות וירקות > ערב גבינות ויין טוב > יצאנו לפיקניק | url https://www.shufersal.co.il/online/he/c/A2403
A0410 | פירות וירקות | depth5 | parent A2403 יצאנו לפיקניק | depth 5 | path A>A24>A04>A2415>A2403>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > ערב גבינות ויין טוב > יצאנו לפיקניק > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A041002 | פירות טריים | leaf | parent A0410 פירות וירקות | depth 6 | path A>A24>A04>A2415>A2403>A0410>A041002 | pathHe סופרמרקט > רשימות > פירות וירקות > ערב גבינות ויין טוב > יצאנו לפיקניק > פירות וירקות > פירות טריים | url https://www.shufersal.co.il/online/he/c/A041002
A2406 | בא לי להכין פלאפל עם הילדים | depth3 | parent A04 פירות וירקות | depth 3 | path A>A24>A04>A2406 | pathHe סופרמרקט > רשימות > פירות וירקות > בא לי להכין פלאפל עם הילדים | url https://www.shufersal.co.il/online/he/c/A2406
A0410 | פירות וירקות | depth4 | parent A2406 בא לי להכין פלאפל עם הילדים | depth 4 | path A>A24>A04>A2406>A0410 | pathHe סופרמרקט > רשימות > פירות וירקות > בא לי להכין פלאפל עם הילדים > פירות וירקות | url https://www.shufersal.co.il/online/he/c/A0410
A041002 | פירות טריים | leaf | parent A0410 פירות וירקות | depth 5 | path A>A24>A04>A2406>A0410>A041002 | pathHe סופרמרקט > רשימות > פירות וירקות > בא לי להכין פלאפל עם הילדים > פירות וירקות > פירות טריים | url https://www.shufersal.co.il/online/he/c/A041002
A2416 | פותחים פיצריה בבית | depth3 | parent A04 פירות וירקות | depth 3 | path A>A24>A04>A2416 | pathHe סופרמרקט > רשימות > פירות וירקות > פותחים פיצריה בבית | url https://www.shufersal.co.il/online/he/c/A2416
